项目名称,项目编号,开标时间,工程分类,是否联合体投标,资格审查方式,预算,备注,企业资质,人员资质,招标公告网址
2023年度（北干）老旧小区综合改造提升一期EPC工程总承包项目,A3301090130507929001211,2023/9/19 9:30,房屋建筑,是,资格后审,5850.9127,投标单位需完成市场主体注册入库。,同时具备 施工总承包企业建筑工程(新) 二级、设计综合类 甲级 或者同时具备 施工总承包企业建筑工程(新) 二级、设计专业类 建筑行业 乙级 或者同时具备 设计专业类 建筑行业 建筑工程 乙级、施工总承包企业建筑工程(新) 二级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=a3ffec67-4c62-45ec-b976-2d2187c2e060&IsInner=0&IsHistory=&ModuleID=22
杭州市临安区湍口管网扩网供水工程（二期）-输水泵站设备采购,A3301850210980030001251,2023/9/8 9:00,水利水电,否,资格后审,7394.07,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=e6a75b75-7805-47bd-b86f-24398e112c72&IsInner=0&IsHistory=&ModuleID=22
杭州市临安区湍口管网扩网供水工程（二期）-球墨铸铁管及配件采购,A3301850210980029001251,2023/9/7 9:00,水利水电,否,资格后审,7394.07,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=058a9188-7152-4ed4-a1d3-7095b7b9ce92&IsInner=0&IsHistory=&ModuleID=22
杭州市临安区湍口管网扩网供水工程(二期),A3301850210980028001251,2023/9/6 9:00,水利水电,否,资格后审,7394.07,,具备 施工总承包企业水利水电工程(新) 三级,具备 水利水电 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=2235fda9-45db-466a-94b0-6a90be767900&IsInner=0&IsHistory=&ModuleID=22
2023年度（北干）老旧小区综合改造提升二期EPC工程总承包项目,A3301090130507924001211,2023/9/20 9:30,房屋建筑,是,资格后审,4202.8601,投标单位需完成市场主体注册入库。,同时具备 设计专业类 建筑行业 乙级、施工总承包企业建筑工程(新) 二级 或者同时具备 施工总承包企业建筑工程(新) 二级、设计专业类 建筑行业 建筑工程 乙级 或者同时具备 施工总承包企业建筑工程(新) 二级、设计综合类 甲级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=0ded54c7-c48e-4c30-b7a5-0f910149b5a2&IsInner=0&IsHistory=&ModuleID=22
拱政工出【2023】2号地块工业用房设计,A3301050100508108001211,2023/9/7 9:30,房屋建筑,否,资格后审,580.112,本次招标内容包括但不限于方案设计(含方案优化、设计估算编制)、初步设计（含概算编制及调整）、施工图设计、报批及施工配合、验收配合等各阶段设计内容；投标保函在“宏云服务平台”（网址：https://jinfu.hongyun.zhonghongwang.com/，包括保险机构保证保险保单、融资担保公司保函、银行保函）开具，具体办理路径为：在“宏云服务平台”中“宏云金服”系统选择“投标保函”-“搜索项目”-“申请保函”。,具备 设计专业类 建筑行业 建筑工程 甲级 或者具备 设计专业类 建筑行业 甲级 或者具备 设计综合类 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=5903addb-7fb4-4daa-a1f3-b248754914bd&IsInner=0&IsHistory=&ModuleID=22
新塘南XSCQ2903-66地块公租房建设项目方案设计、初步设计及后续服务,A3301090130508011001211,2023/9/5 9:30,房屋建筑,否,资格后审,173.956,投标单位需完成市场主体注册入库。,具备 设计综合类 甲级 或者具备 设计专业类 建筑行业 甲级 或者具备 设计专业类 建筑行业 建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=2e32379c-7b25-472d-9c04-69034e7ce597&IsInner=0&IsHistory=&ModuleID=22
余政储出（2011）05号地块商业办公用房2#楼室外工程,A3301131280507908001221,2023/9/6 9:30,市政公用,否,资格后审,1501.2528,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=e5818a01-628a-4c95-860d-a4b9a374cae0&IsInner=0&IsHistory=&ModuleID=22
三堡单元防护绿地等养护项目,A3301010060400136001281,2023/9/6 9:30,园林绿化,否,资格后审,77.3707,投标单位须完成市场主体注册入库。,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=c79273c8-6254-4077-af4a-88087a1fb12d&IsInner=0&IsHistory=&ModuleID=22
220千伏古荡就地改造工程,A3301010060507024001211,2023/9/5 9:30,房屋建筑,否,资格后审,4518.686,投标单位须完成市场主体注册入库。,具备 施工总承包企业建筑工程(新) 二级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=eb3c0c0d-46fa-42ab-a3c2-e816758bece1&IsInner=0&IsHistory=&ModuleID=22
220千伏古荡就地改造工程,A3301010060507024001211,2023/9/5 9:30,房屋建筑,否,资格后审,4518.686,投标单位须完成市场主体注册入库。,具备 施工总承包企业建筑工程(新) 二级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=eb3c0c0d-46fa-42ab-a3c2-e816758bece1&IsInner=0&IsHistory=&ModuleID=22
康良路（京杭大运河-运溪高架）工程一期（运溪高架-湖杭高铁）,A3301100140508113001121,,市政公用,是,资格预审,87030.57,,具备 施工总承包企业市政公用工程(新) 一级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=dc0ce1d9-3a13-4125-81ec-cba043a97426&IsInner=0&IsHistory=&ModuleID=22
桐庐城乡供水一体化管网提升改造工程（一期）-县城区和横村镇-县城区和横村镇给水工程（香山村、柳岩村、横村村、后岭村、双溪村）,A3301220150508099001221,2023/9/5 9:30,市政公用,否,资格后审,2647.0163,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=bbc45d65-97ba-4a62-a91d-72cd555ebc08&IsInner=0&IsHistory=&ModuleID=22
河滨未来社区提升改造项目,A3301060110508053001211,2023/9/5 9:00,房屋建筑,否,资格后审,568.1077,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=7ffa010d-d33b-4de5-874a-48d9cf7be90c&IsInner=0&IsHistory=&ModuleID=22
淳安县水饮料综合服务中心项目,A3301270160508063001211,2023/9/7 8:45,房屋建筑,是,资格后审,1258.1052,,同时具备 专业承包企业建筑装修装饰工程(新) 二级、专业承包企业电子与智能化工程(新) 二级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=903f36fb-297b-4084-a1f9-df1829248ff3&IsInner=0&IsHistory=&ModuleID=22
三墩单元XH0306-M1-61地块新制造业项目精装修工程,A3301060110508032001211,2023/9/5 9:00,房屋建筑,是,资格后审,5381.3559,,同时具备 专业承包企业建筑装修装饰工程(新) 一级、专业承包企业消防设施工程(新) 一级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=856f14cc-2422-47e6-8a29-5f0b82012824&IsInner=0&IsHistory=&ModuleID=22
体育惠民共享工程（2023嵌入式体育场地设施建设项目）,A3301270160508041001221,2023/9/6 8:45,市政公用,否,资格后审,1309.9551,本项目投资估算1600万元，工程概算1598.78万元，其中建安工程造价1492.10万元，建设规模：主要包括方海岸区块、体育馆区块、阳光公园区块、一家山水区块、左口区块、石林区块、姜家区块的篮球场、羽毛球场、足球场的新建改建及配套设施。,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=283828d0-271e-4e35-b5bc-7674130500f9&IsInner=0&IsHistory=&ModuleID=22
杭州市数字商贸城单元JG1801-M1-07地块（标准厂房）工业项目设计,A3301020070508012001211,2023/9/5 9:30,房屋建筑,否,资格后审,3091.6,1、投标单位须完成市场主体注册入库2、金融服务平台电子保函办理：https://www.cyc-fund.com.cn/?areaCode=330102,具备 设计综合类 甲级 或者具备 设计专业类 建筑行业 甲级 或者具备 设计专业类 建筑行业 建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=9995f9ab-ddf1-453d-968a-c9ec2c897ce4&IsInner=0&IsHistory=&ModuleID=22
建德C40+潜水俱乐部建设工程监理,A3301820190508102001211,2023/9/7 8:45,房屋建筑,否,资格后审,194.0047,拟派总监理工程师具有注册在投标人单位的房屋建筑工程专业工程国家注册监理工程师执业资格。,具备 房屋建筑工程 乙级 或者具备 综合,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=84c358bb-766e-417d-b2d8-750d0e2ecab0&IsInner=0&IsHistory=&ModuleID=22
文晖单元XC0404-A33-25地块42班初级中学设计,A3301050100508056001211,2023/9/6 9:30,房屋建筑,否,资格后审,559.0454,投标保函在“宏云服务平台”（网址：https://jinfu.hongyun.zhonghongwang.com/，包括保险机构保证保险保单、融资担保公司保函、银行保函）开具，具体办理路径为：在“宏云服务平台”中“宏云金服”系统选择“投标保函”-“搜索项目”-“申请保函”。,具备 设计综合类 甲级 或者具备 设计专业类 建筑行业 甲级 或者具备 设计专业类 建筑行业 建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=ea245718-827a-4206-859e-348fb263de22&IsInner=0&IsHistory=&ModuleID=22
千岛湖水位台及综合雨量观测场建设项目,A3301270160980062001251,2023/9/6 8:45,水利水电,否,资格后审,740.74,,具备 施工总承包企业水利水电工程(新) 三级,具备 水利水电工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=2a68c646-6c20-4207-b723-3a714fc15e3b&IsInner=0&IsHistory=&ModuleID=22
桐庐城乡供水一体化管网提升改造工程（一期）—城市扩网及部分农饮水改造项目（分水镇1标段）,A3301220150980035001251,2023/9/5 9:00,水利水电,否,资格后审,904.922,,具备 施工总承包企业水利水电工程(新) 三级 或者具备 施工总承包企业市政公用工程(新) 三级,具备 水利水电工程 二级 或者具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=797ae743-a238-4e93-ab4c-afc81ec7d515&IsInner=0&IsHistory=&ModuleID=22
杭政工出【2023】1号白马湖实验室总部基地项目监理,A3301080120507988001211,2023/9/5 9:15,房屋建筑,否,资格后审,1989.274,,具备 综合 或者具备 房屋建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=471d5119-b5a4-4068-9ae5-e7f157bd3323&IsInner=0&IsHistory=&ModuleID=22
戴村镇佛山村村级物业经营用房项目(6.429亩）,A3301090130508090001211,2023/9/6 9:00,房屋建筑,否,资格后审,1495.079,投标单位需完成市场主体注册入库。,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=cf93bbd9-2823-4cdf-8d27-5849ca2bddaa&IsInner=0&IsHistory=&ModuleID=22
淳安浪川现代农业示范园,A3301270160508044001211,2023/9/5 8:45,房屋建筑,否,资格后审,4161.2608,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=3ec976b5-6d4c-4da7-b534-b14e6996ceed&IsInner=0&IsHistory=&ModuleID=22
余政储出[2020]21 号地块建设项目地块一,A3301100140508038001211,2023/9/5 9:30,房屋建筑,否,资格后审,1033.3239,,具备 专业承包企业古建筑工程(新) 二级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=9b983359-556a-4c3c-8f8c-c3c2bb0af46f&IsInner=0&IsHistory=&ModuleID=22
小林高科产业园及基础设施配套项目幕墙工程,A3301131280506126001213,2023/9/5 9:30,房屋建筑,否,资格后审,20861.251,,具备 专业承包企业建筑幕墙工程(新) 一级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=abcaaaa1-f2c5-4456-a9df-41437ecc2fbc&IsInner=0&IsHistory=&ModuleID=22
良渚街道2023年老旧小区综合改造提升项目,A3301100140508033001211,2023/9/4 9:30,房屋建筑,否,资格后审,653.6514,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=946add47-7da2-44b1-9857-19345be68118&IsInner=0&IsHistory=&ModuleID=22
淳政工出【2023】5号大柘坞B14地块标准厂房建设工程,A3301270160508098001211,,房屋建筑,否,资格后审,18464.7756,,具备 施工总承包企业建筑工程(新) 二级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=8e9363a5-f4bb-45b2-aa5c-e27be3e8a7fc&IsInner=0&IsHistory=&ModuleID=22
杭新景（杭千）高速公路2023年三级等保测评及网络安全服务项目,A3301010060280127001231,2023/9/4 9:30,公路(交通),否,资格后审,150.2,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=fa1afe68-3366-4ea1-8262-714ba430ad7a&IsInner=0&IsHistory=&ModuleID=22
农业孵化园综合整治（田园乡梦智创园）—原百隆笔业地块厂房改扩建项目,A3301220150508045001211,2023/9/4 9:00,房屋建筑,否,资格后审,1180.2497,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=9470971c-9bf5-42f7-8b70-1e144d33f2c5&IsInner=0&IsHistory=&ModuleID=22
杭州市临安区湍口管网扩网供水工程（二期）监理,A3301850210980027001251,2023/9/5 9:00,水利水电,否,资格后审,114.7521,拟派驻本项目总监理工程师必须具有注册在投标人单位的水利部颁发的监理工程师（水利工程施工监理）注册证书或具有登记在投标人单位的水利部（或中国水利工程协会）颁发的全国水利工程建设监理工程师（水工建筑）资格证书。,具备 水利工程施工监理 乙级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=2e569690-e92c-40ac-b375-97ed0a4b6844&IsInner=0&IsHistory=&ModuleID=22
2023年杭州市临安区龙岗镇高标准农田示范区项目,A3301850210180021001251,2023/9/4 9:00,水利水电,否,资格后审,1180.8143,,具备 施工总承包企业水利水电工程(新) 三级,具备 水利水电 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=5dd2ad25-910e-4f83-b828-6fd90e8db7aa&IsInner=0&IsHistory=&ModuleID=22
揽晖美寓项目前期物业管理,A3301080120190012001291,,房管,否,普通,470,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=86b4eb22-7bbd-48b6-9f6c-04aa8b7e2b0e&IsInner=0&IsHistory=&ModuleID=22
建德市高品质“四好农村路”2023年县道大中修工程,A3301820190280033001231,2023/9/6 8:45,公路(交通),否,资格后审,4082.26,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=b7a5ca07-0966-4ae7-b21c-031bf9c3a2bf&IsInner=0&IsHistory=&ModuleID=22
杭州市肿瘤医院1号楼加固修缮项目,A3301010060507993001211,2023/9/11 9:00,房屋建筑,是,资格后审,515.3915,投标单位须完成市场主体注册入库。,同时具备 设计专业类 建筑行业 建筑工程 乙级、施工总承包企业建筑工程(新) 三级 或者同时具备 设计综合类 甲级、施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=2cada19f-7a93-4c11-a56a-7d4df2afb02a&IsInner=0&IsHistory=&ModuleID=22
运河新城单元五号支路（管家漾路-拱康路）设计,A3301010060508005001221,2023/9/1 9:30,市政公用,是,资格后审,167.0454,投标单位须完成市场主体注册入库。,具备 设计综合类 甲级 或者具备 设计专业类 市政行业（燃气工程、轨道交通工程除外） 甲级 或者具备 设计专业类 市政公用行业 甲级 或者同时具备 设计专业类 市政公用行业 排水工程设计 丙级、设计专业类 市政公用行业 桥梁工程 甲级、设计专业类 市政公用行业 道路工程设计 丙级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=8aeaa676-7fa1-418e-9bc1-6d0071aee5b9&IsInner=0&IsHistory=&ModuleID=22
2023年科技城道路提升改造工程,A3301850210508037001221,2023/9/4 9:00,市政公用,否,资格后审,680.6886,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=bb16d30c-3434-4c6f-9c81-843a3778b4cf&IsInner=0&IsHistory=&ModuleID=22
杭政储出〔2020〕80号地块商务用房电梯,A3301050100507991001291,2023/9/5 9:30,其他,否,资格后审,555.7178,具有独立法人资格的电梯制造商或代理商资质；投标保函在“宏云服务平台”（网址：https://jinfu.hongyun.zhonghongwang.com/，包括保险机构保证保险保单、融资担保公司保函、银行保函）开具，具体办理路径为：在“宏云服务平台”中“宏云金服”系统选择“投标保函”-“搜索项目”-“申请保函”。,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=b08c0f5c-37cd-4eb2-b5a5-e9bd4ed11260&IsInner=0&IsHistory=&ModuleID=22
五马洲安置房装修工程-（1-7号楼、9-10号楼）,A3301820190507996001211,2023/9/5 8:45,房屋建筑,否,资格后审,3503.4646,,具备 专业承包企业建筑装修装饰工程(新) 一级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=75ba98e6-62ba-476e-be11-0ea74ce33de8&IsInner=0&IsHistory=&ModuleID=22
美丽洲公园市政配套提升项目,A3301100140507981001221,2023/9/1 9:30,市政公用,否,资格后审,757.529,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=e4677131-1443-4bde-9874-678a066d02c7&IsInner=0&IsHistory=&ModuleID=22
梅城镇南峰村便民服务中心建设项目,A3301820190507997001211,2023/9/4 8:45,房屋建筑,否,资格后审,608.6976,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=1f332d20-9b48-4be8-bcf4-7daffb832144&IsInner=0&IsHistory=&ModuleID=22
浙西天路户外圈旅游设施提升项目（湍口镇域）-湍口镇重点区块（洪岭）综合改造工程,A3301850210508009001221,2023/8/31 9:00,市政公用,否,资格后审,388.4334,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=fd25e669-b243-4f6f-a289-8882c6b882fc&IsInner=0&IsHistory=&ModuleID=22
浙江文化大厦总部办公改造工程设计-采购-施工(EPC)总承包,A3301050100507998001211,2023/9/11 9:30,房屋建筑,是,资格后审,3226.8589,投标保函在“宏云服务平台”（网址：https://jinfu.hongyun.zhonghongwang.com/，包括保险机构保证保险保单、融资担保公司保函、银行保函）开具，具体办理路径为：在“宏云服务平台”中“宏云金服”系统选择“投标保函”-“搜索项目”-“申请保函”。,同时具备 设计专业类 建筑行业 建筑工程 甲级、施工总承包企业建筑工程(新) 二级 或者同时具备 施工总承包企业建筑工程(新) 二级、设计综合类 甲级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=064aa5a5-0b1b-4095-b2d5-df105dfeeef3&IsInner=0&IsHistory=&ModuleID=22
杭政储出[2022]45号地块项目方案设计、初步设计及后续服务,A3301090130507869001211,2023/9/4 9:30,房屋建筑,否,资格后审,266,投标单位需完成市场主体注册入库。,具备 设计综合类 甲级 或者具备 设计专业类 建筑行业 甲级 或者具备 设计专业类 建筑行业 建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=c79aff11-58b8-4ef4-bd65-0146bb261d03&IsInner=0&IsHistory=&ModuleID=22
沪杭高速乔司段改建工程保通便道初步勘察设计,A3301131280280032001231,2023/8/31 9:30,公路(交通),是,资格后审,167.4298,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=ace98a81-0f64-47b8-a13e-2209b96027dd&IsInner=0&IsHistory=&ModuleID=22
翠苑街道花园社区花园北村老旧小区提升改造EPC工程总承包,A3301060110508023001211,2023/9/11 9:15,房屋建筑,是,资格后审,1349.0257,,同时具备 设计专业类 建筑行业 乙级、施工总承包企业建筑工程(新) 三级 或者同时具备 设计专业类 建筑行业 建筑工程 乙级、施工总承包企业建筑工程(新) 三级 或者同时具备 施工总承包企业建筑工程(新) 三级、设计综合类 甲级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=cbcfb32c-8b0a-4d30-bf79-401845795d8a&IsInner=0&IsHistory=&ModuleID=22
临江科创园三期设计,A3301300180507919001211,2023/8/31 9:30,房屋建筑,否,资格后审,0,拟派项目负责人具有注册在投标人单位的一级注册建筑师执业资格,具备 设计专业类 建筑行业 建筑工程 甲级 或者具备 设计专业类 建筑行业 甲级 或者具备 设计综合类 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=267505e7-ec1b-4cd5-9f1a-49ee329fa949&IsInner=0&IsHistory=&ModuleID=22
新风路-运河东路地下连通道设计,A3301010060507984001221,,市政公用,否,资格后审,245,投标单位须完成市场主体注册入库。,具备 设计综合类 甲级 或者具备 设计专业类 市政公用行业 甲级 或者具备 设计专业类 市政行业（燃气工程、轨道交通工程除外） 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=7ab26b48-4005-419d-992a-ee959e327c48&IsInner=0&IsHistory=&ModuleID=22
枇杷园区块配套道路（纵十二路）,A3301131280508052001221,2023/8/31 9:30,市政公用,否,资格后审,3668.8461,,具备 施工总承包企业市政公用工程(新) 二级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=152282b7-21c0-4e4b-ab98-8ea4b34611a7&IsInner=0&IsHistory=&ModuleID=22
杭政工出【2023】1号白马湖实验室总部基地项目桩基工程,A3301080120508020001211,2023/8/31 9:15,房屋建筑,否,资格后审,7325.0811,,具备 专业承包企业地基基础工程(新) 一级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=b449a553-3b96-48e7-aaac-942ff02f8f51&IsInner=0&IsHistory=&ModuleID=22
2023年高品质“四好农村路”乡、村道建设工程（梅城镇C214利群至伊村公路提升改造工程）,A3301820190280031001231,2023/8/31 8:45,公路(交通),否,资格后审,1300,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=45649365-a9f5-4f62-bb3d-ace27c5b9282&IsInner=0&IsHistory=&ModuleID=22
苕溪学府幼儿园装修项目,A3301850210508019001211,2023/8/30 9:00,房屋建筑,否,资格后审,945.8661,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=4624212d-94ca-472d-91c9-86a6934a653b&IsInner=0&IsHistory=&ModuleID=22
西溪湿地交通优化工程,A3301060110508025001221,2023/8/31 9:00,市政公用,否,资格后审,1937.5214,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=41083a20-46c2-49f8-b713-e9842caabf0a&IsInner=0&IsHistory=&ModuleID=22
临平山周边部分区块改造提升工程临平山图书馆工程,A3301131280507969001211,2023/8/31 9:30,房屋建筑,否,资格后审,11556.1704,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=d8b61f1f-9bf9-4eda-b317-098f067f0c73&IsInner=0&IsHistory=&ModuleID=22
航头镇“稻和灵栖”高效生态农业示范园--现代化农事服务中心建设,A3301820190507975001211,2023/8/30 8:45,房屋建筑,否,资格后审,601.1503,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=7af9e022-8a3d-48f5-98a5-2566a4ce4721&IsInner=0&IsHistory=&ModuleID=22
浙西天路户外圈旅游设施提升项目（昌化镇域）--昌化美丽田园提升工程,A3301850210507983001221,2023/8/31 9:00,市政公用,是,资格后审,264.8979,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=475bb020-15c3-4305-a1cf-aec8c8b468fd&IsInner=0&IsHistory=&ModuleID=22
数字商贸城单元JG1803-M1/M2-15地块工业用房项目（一期、二期）设计,A3301020070507965001211,2023/8/30 9:30,房屋建筑,否,资格后审,1180.7128,1、投标单位须完成市场主体注册入库2、金融服务平台电子保函办理：https://www.cyc-fund.com.cn/?areaCode=330102,具备 设计综合类 甲级 或者具备 设计专业类 建筑行业 甲级 或者具备 设计专业类 建筑行业 建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=355aa541-35b6-48cb-8529-e9209d3f4e5a&IsInner=0&IsHistory=&ModuleID=22
余杭鸬鸟温泉文旅综合体一期工程勘察,A3301100140507927001211,2023/8/31 9:30,房屋建筑,否,资格后审,133.6,,具备 勘察专业类 岩土工程 岩土工程勘察 甲级 或者具备 勘察专业类 岩土工程 甲级 或者具备 勘察综合类 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=5247de93-2ead-4bc4-bba1-045a22f844f5&IsInner=0&IsHistory=&ModuleID=22
市委党校余杭区分校（区行政学校）新建项目地质勘察（一桩一勘）,A3301100140507721001212,2023/8/29 9:30,房屋建筑,否,资格后审,195.5752,,具备 勘察综合类 甲级 或者具备 勘察专业类 岩土工程 岩土工程勘察 甲级 或者具备 勘察专业类 岩土工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=d4054b71-50e2-44f0-accd-c526f73678c6&IsInner=0&IsHistory=&ModuleID=22
余政储出[2018]37号地块建设项目监理,A3301100140507703001212,2023/8/30 9:30,房屋建筑,否,资格后审,205.4126,,具备 房屋建筑工程 乙级 或者具备 综合,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=230b6ef9-6a52-4992-a3f8-57aefa4ac801&IsInner=0&IsHistory=&ModuleID=22
生物科技谷GMP标准厂房项目一期4号地块设计,A3301090130507946001211,2023/8/31 9:30,房屋建筑,否,资格后审,313.6,投标单位需完成市场主体注册入库。,具备 设计专业类 建筑行业 建筑工程 甲级 或者具备 设计专业类 建筑行业 甲级 或者具备 设计综合类 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=519114b9-128e-4dd3-bc84-6a93689d86dc&IsInner=0&IsHistory=&ModuleID=22
生物科技谷GMP标准厂房项目一期2号、3号地块设计,A3301090130507950001211,2023/8/30 9:30,房屋建筑,否,资格后审,221.65,投标单位需完成市场主体注册入库。,具备 设计专业类 建筑行业 甲级 或者具备 设计专业类 建筑行业 建筑工程 甲级 或者具备 设计综合类 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=8cd9850c-3d27-42a7-95c3-1fb878efb362&IsInner=0&IsHistory=&ModuleID=22
